rpm,theta_deg,theta_rad,pressure_pa,pressure_kpa,dpdtheta_pa_per_rad,mdot_engine_kg_s,mdot_restrictor_kg_s,v_demand_m3_s
6200.0,587.6849642004773,10.257037589763334,94456.18814416777,94.45618814416777,686.7546431743986,0.0,0.034716568200876714,0.0
6200.0,588.2577565632458,10.267034702423922,94463.05370770577,94.46305370770577,686.4382037310203,0.0,0.03470057167049039,0.0
6200.0,588.8305489260143,10.277031815084511,94469.916107763,94.469916107763,686.121710527718,0.0,0.03468457242245215,0.0
6200.0,589.4033412887828,10.287028927745098,94476.77534380202,94.47677534380202,685.8051635891466,0.0,0.03466857045800835,0.0
6200.0,589.9761336515513,10.297026040405687,94483.63141528564,94.48363141528563,685.4885629399596,0.0,0.03465256577840526,0.0
6200.0,590.5489260143198,10.307023153066275,94490.4843216769,94.49048432167689,685.1719086048246,0.0,0.03463655838488986,0.0
6200.0,591.1217183770883,10.317020265726862,94497.33406243908,94.49733406243908,684.8552006084077,0.0,0.03462054827870908,0.0
6200.0,591.6945107398568,10.32701737838745,94504.18063703575,94.50418063703574,684.5384389753768,0.0,0.034604535461109906,0.0
6200.0,592.2673031026253,10.337014491048038,94511.02404493069,94.51102404493069,684.2216237304089,0.0,0.0345885199333398,0.0
6200.0,592.8400954653938,10.347011603708626,94517.86428558793,94.51786428558793,683.9047548981798,0.0,0.03457250169664618,0.0
6200.0,593.4128878281623,10.357008716369215,94524.70135847176,94.52470135847176,683.5878325033758,0.0,0.03455648075227696,0.0
6200.0,593.9856801909308,10.367005829029802,94531.53526304671,94.5315352630467,683.2708565706838,0.0,0.03454045710148011,0.0
6200.0,594.5584725536993,10.37700294169039,94538.36599877755,94.53836599877755,682.9538271248003,0.0,0.03452443074550409,0.0
6200.0,595.1312649164678,10.38700005435098,94545.19356512929,94.54519356512928,682.6367441904108,0.0,0.034508401685596775,0.0
6200.0,595.7040572792363,10.396997167011566,94552.01796156721,94.55201796156722,682.319607792225,0.0,0.0344923699230073,0.0
6200.0,596.2768496420048,10.406994279672155,94558.83918755683,94.55883918755683,682.0024179549441,0.0,0.03447633545898433,0.0
6200.0,596.8496420047733,10.416991392332744,94565.65724256392,94.56565724256392,681.6851747032761,0.0,0.0344602982947769,0.0
6200.0,597.4224343675418,10.42698850499333,94572.47212605448,94.57247212605448,681.3678780619327,0.0,0.034444258431634234,0.0
6200.0,597.9952267303103,10.436985617653919,94579.28383749476,94.57928383749476,681.050528055634,0.0,0.03442821587080597,0.0
6200.0,598.5680190930788,10.446982730314508,94586.09237635128,94.58609237635129,680.7331247091009,0.0,0.03441217061354179,0.0
6200.0,599.1408114558473,10.456979842975095,94592.89774209079,94.59289774209078,680.4156680470602,0.0,0.034396122661091676,0.0
6200.0,599.7136038186158,10.466976955635683,94599.69993418029,94.5996999341803,680.098158094236,0.0,0.03438007201470547,0.0
6200.0,600.2863961813842,10.476974068296272,94606.49895208701,94.60649895208701,679.7805948753669,0.0,0.03436401867563374,0.0
6200.0,600.8591885441527,10.486971180956859,94613.29479527846,94.61329479527846,679.4629784151903,0.0,0.03434796264512702,0.0
6200.0,601.4319809069212,10.496968293617448,94620.08746322237,94.62008746322238,679.1453087384501,0.0,0.03433190392443614,0.0
6200.0,602.0047732696897,10.506965406278036,94626.87695538675,94.62687695538675,678.8275858698871,0.0,0.0343158425148118,0.0
6200.0,602.5775656324582,10.516962518938623,94633.6632712398,94.6336632712398,678.5098098342589,0.0,0.03429977841750552,0.0
6200.0,603.1503579952267,10.526959631599212,94640.44641025002,94.64044641025002,678.1919806563205,0.0,0.03428371163376872,0.0
6200.0,603.7231503579952,10.536956744259799,94647.22637188615,94.64722637188615,677.874098360822,0.0,0.03426764216485255,0.0
6200.0,604.2959427207637,10.546953856920387,94654.00315561716,94.65400315561716,677.556162972539,0.0,0.034251570012009465,0.0
6200.0,604.8687350835322,10.556950969580976,94660.77676091227,94.66077676091227,677.2381745162292,0.0,0.03423549517649099,0.0
6200.0,605.4415274463007,10.566948082241563,94667.54718724095,94.66754718724096,676.9201330166695,0.0,0.03421941765954967,0.0
6200.0,606.0143198090692,10.576945194902152,94674.31443407295,94.67431443407295,676.602038498632,0.0,0.03420333746243775,0.0
6200.0,606.5871121718377,10.58694230756274,94681.0785008782,94.6810785008782,676.2838909868997,0.0,0.03418725458640804,0.0
6200.0,607.1599045346062,10.596939420223327,94687.83938712694,94.68783938712694,675.9656905062586,0.0,0.03417116903271355,0.0
6200.0,607.7326968973747,10.606936532883916,94694.59709228962,94.69459709228963,675.6474370814911,0.0,0.03415508080260704,0.0
6200.0,608.3054892601432,10.616933645544504,94701.35161583696,94.70135161583696,675.3291307373942,0.0,0.03413898989734204,0.0
6200.0,608.8782816229117,10.626930758205091,94708.10295723991,94.70810295723992,675.0107714987661,0.0,0.03412289631817216,0.0
6200.0,609.4510739856802,10.63692787086568,94714.8511159697,94.7148511159697,674.6923593904037,0.0,0.03410680006635091,0.0
6200.0,610.0238663484487,10.646924983526269,94721.59609149776,94.72159609149776,674.3738944371136,0.0,0.034090701143132306,0.0
6200.0,610.5966587112172,10.656922096186856,94728.33788329581,94.72833788329581,674.055376663705,0.0,0.0340745995497705,0.0
6200.0,611.1694510739857,10.666919208847444,94735.0764908358,94.7350764908358,673.7368060949913,0.0,0.03405849528751983,0.0
6200.0,611.7422434367543,10.676916321508033,94741.81191358992,94.74181191358991,673.4181827557876,0.0,0.03404238835763476,0.0
6200.0,612.3150357995227,10.68691343416862,94748.54415103061,94.74854415103061,673.0995066709223,0.0,0.034026278761370404,0.0
6200.0,612.8878281622912,10.696910546829208,94755.27320263059,94.75527320263059,672.7807778652169,0.0,0.034010166499981516,0.0
6200.0,613.4606205250597,10.706907659489795,94761.99906786278,94.76199906786277,672.4619963634995,0.0,0.03399405157472321,0.0
6200.0,614.0334128878281,10.716904772150384,94768.72174620039,94.76872174620038,672.1431621906071,0.0,0.03397793398685103,0.0
6200.0,614.6062052505966,10.726901884810973,94775.44123711686,94.77544123711685,671.8242753713766,0.0,0.033961813737620535,0.0
6200.0,615.1789976133651,10.73689899747156,94782.15754008587,94.78215754008588,671.5053359306515,0.0,0.033945690828287585,0.0
6200.0,615.7517899761336,10.746896110132148,94788.87065458136,94.78887065458136,671.1863438932772,0.0,0.033929565260108166,0.0
6200.0,616.3245823389021,10.756893222792737,94795.58058007751,94.79558058007751,670.8672992841065,0.0,0.03391343703433862,0.0
6200.0,616.8973747016706,10.766890335453324,94802.28731604877,94.80228731604876,670.5482021279937,0.0,0.033897306152235386,0.0
6200.0,617.4701670644391,10.776887448113913,94808.9908619698,94.80899086196979,670.229052449796,0.0,0.03388117261505503,0.0
6200.0,618.0429594272076,10.786884560774501,94815.69121731553,94.81569121731553,669.909850274375,0.0,0.03386503642405434,0.0
6200.0,618.6157517899761,10.796881673435088,94822.38838156116,94.82238838156117,669.5905956266055,0.0,0.03384889758049078,0.0
6200.0,619.1885441527446,10.806878786095677,94829.08235418212,94.82908235418212,669.2712885313496,0.0,0.03383275608562118,0.0
6200.0,619.7613365155132,10.816875898756265,94835.77313465405,94.83577313465405,668.9519290134893,0.0,0.03381661194070336,0.0
6200.0,620.3341288782816,10.826873011416852,94842.46072245292,94.84246072245291,668.6325170979026,0.0,0.03380046514699493,0.0
6200.0,620.9069212410501,10.836870124077441,94849.14511705488,94.84914511705489,668.3130528094719,0.0,0.033784315705753756,0.0
