rpm,iteration,pressure_residual,p_start_pa,p_end_pa
5100.0,7,3.6301539145837774e-05,97444.27767608425,97440.74029882366
5200.0,1,0.02858307885966949,101325.0,98428.81953454399
5200.0,2,0.008041343718342949,98428.81953454399,97637.31956487597
5200.0,3,0.0027873385423482317,97637.31956487597,97365.17130088122
5200.0,4,0.0010045431079663252,97365.17130088122,97267.36378909496
5200.0,5,0.00036657970074723266,97267.36378909496,97231.70754798468
5200.0,6,0.00013436052964874162,97231.70754798468,97218.64344425988
5200.0,7,4.932455953067091e-05,97218.64344425988,97213.84817749383
5300.0,1,0.029292201076071195,101325.0,98356.96772596709
5300.0,2,0.008551576302581541,98356.96772596709,97515.86061156793
5300.0,3,0.003068236274882214,97515.86061156793,97216.65891066316
5300.0,4,0.0011453689956516541,97216.65891066316,97105.30996368604
5300.0,5,0.0004331952424338322,97105.30996368604,97063.24440539471
5300.0,6,0.00016462018505619628,97063.24440539471,97047.26583613854
5300.0,7,6.266916298009207e-05,97047.26583613854,97041.18396521908
5400.0,1,0.02991027041368371,101325.0,98294.3418503335
5400.0,2,0.009030071876711551,98294.3418503335,97406.73687835093
5400.0,3,0.0033425607876284304,97406.73687835093,97081.14893921051
5400.0,4,0.0012880668675710198,97081.14893921051,96956.10192779619
5400.0,5,0.0005031745040316789,96956.10192779619,96907.31608929583
5400.0,6,0.0001975652875345087,96907.31608929583,96888.17056752845
5400.0,7,7.772424934419854e-05,96888.17056752845,96880.64000720075
5500.0,1,0.030651582283456706,101325.0,98219.22842512875
5500.0,2,0.009577064421175261,98219.22842512875,97278.57654710316
5500.0,3,0.003659348583778122,97278.57654710316,96922.60032578357
5500.0,4,0.001456421646842095,96922.60032578357,96781.44015260087
5500.0,5,0.0005879426320790343,96781.44015260087,96724.53821794115
5500.0,6,0.0002386460979212764,96724.53821794115,96701.4552843222
5500.0,7,9.707747231632182e-05,96701.4552843222,96692.06775147389
5600.0,1,0.03137940201988244,101325.0,98145.48209033541
5600.0,2,0.010128527089674256,98145.48209033541,97151.41291625431
5600.0,3,0.003987704225155197,97151.41291625431,96764.00181648837
5600.0,4,0.0016361473121042712,96764.00181648837,96605.68165500787
5600.0,5,0.0006812649764602276,96605.68165500787,96539.86758756924
5600.0,6,0.0002853239811383606,96539.86758756924,96512.32244821059
5600.0,7,0.00011978372284314235,96512.32244821059,96500.7618429275
5600.0,8,5.033720786909441e-05,96500.7618429275,96495.90426401909
5700.0,1,0.032160213160471296,101325.0,98066.36640151525
